prompt,layer_14,layer_13,layer_2,layer_5,layer_4,layer_3,layer_12,cfg,layer_15,layer_9,layer_0,layer_7,layer_18,layer_16,layer_11,layer_10,layer_17,layer_6,layer_1,layer_8
prompt_87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9596871137619019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_35,0.0,0.9912914633750916,0.0,0.0,0.6371257901191711,0.0,0.9801843166351318,0.795201301574707,0.5825858116149902,0.8076257705688477,0.0,0.9603233933448792,0.0,0.8036209940910339,0.9184876680374146,0.9728193879127502,0.9880906939506531,0.944237470626831,0.0,0.763242244720459
prompt_42,0.0,0.0,0.9578042030334473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_94,0.9858101010322571,0.9869857132434845,0.0,0.984394371509552,0.980835884809494,0.9874217808246613,0.9699086248874664,0.9814542531967163,0.9770162999629974,0.9886837005615234,0.0,0.9813446998596191,0.9904153943061829,0.9956957697868347,0.9861887693405151,0.9897028505802155,0.9865973591804504,0.9782712161540985,0.0,0.9891087710857391
prompt_70,0.978998601436615,0.9813868701457977,0.0,0.9882682859897614,0.9792956113815308,0.9910037517547607,0.9593131840229034,0.9859731495380402,0.9818158447742462,0.9945210218429565,0.9962621927261353,0.9836529791355133,0.993129700422287,0.9925629794597626,0.9852530658245087,0.9892697632312775,0.977028489112854,0.9915304481983185,0.0,0.9916697442531586
prompt_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958592653274536,0.0,0.0,0.9861912727355957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_77,0.967994213104248,0.9857542514801025,0.0,0.9635018706321716,0.971764326095581,0.9905854761600494,0.9980371594429016,0.9859642386436462,0.9863759279251099,0.99735227227211,0.9947701692581177,0.9954765439033508,0.9975253343582153,0.0,0.0,0.9898386597633362,0.9792124330997467,0.9788365960121155,0.0,0.9729042053222656
prompt_99,0.9648583233356476,0.886469841003418,0.992801308631897,0.9153191447257996,0.9952667355537415,0.9893949627876282,0.9383160769939423,0.8994588553905487,0.973483681678772,0.862763524055481,0.7912940382957458,0.9716755747795105,0.0,0.9519001543521881,0.9187465906143188,0.9354690313339233,0.9599922895431519,0.970713198184967,0.9115071892738342,0.0
prompt_38,0.9538180828094482,0.853489875793457,0.9856284856796265,0.8867920637130737,0.996591329574585,0.9560287594795227,0.9683979749679565,0.0,0.9869155883789062,0.0,0.0,0.976036548614502,0.9032962322235107,0.871465265750885,0.9886778593063354,0.9685297310352325,0.0,0.9503819346427917,0.0,0.9868966937065125
prompt_45,0.9991229772567749,0.9901090264320374,0.0,0.995378315448761,0.9917832612991333,0.9956793785095215,0.9835320115089417,0.9950751662254333,0.9633139967918396,0.0,0.0,0.9979347586631775,0.9955437183380127,0.9434451460838318,0.999424934387207,0.7456598281860352,0.9993988871574402,0.9990484118461609,0.9963564872741699,0.9970525503158569
prompt_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_13,0.9965797662734985,0.9961957335472107,0.0,0.9977630376815796,0.9984879493713379,0.9958606958389282,0.9951989650726318,0.9960887432098389,0.9988315105438232,0.992059051990509,0.0,0.9942954182624817,0.9982805848121643,0.9684808254241943,0.9961131811141968,0.9799520373344421,0.996722936630249,0.9931914210319519,0.0,0.9975263476371765
